epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8264,1.93915,4.89472,1.98773,0.00199,0.08684,0.00438,0.00186,1.8669,4.68112,2.00086,0.07921,0.00021,0.00021
2,49.2436,1.77481,4.60233,1.83149,0.36092,0.01885,0.02069,0.00898,1.65466,4.33673,1.79183,0.0574257,0.000425743,0.000425743
3,76.2378,1.72847,4.32289,1.79698,0.10205,0.04557,0.02231,0.01368,1.5154,3.79125,1.65349,0.0356371,0.00063713,0.00063713
4,97.8597,1.61054,3.85202,1.72257,0.28029,0.08804,0.05878,0.0353,1.51904,3.25749,1.64869,0.0138442,0.000844161,0.000844161
5,119.209,1.54749,3.4077,1.62706,0.41272,0.1704,0.14293,0.08863,1.42728,2.83158,1.52023,0.0009604,0.0009604,0.0009604
6,139.979,1.52828,3.05336,1.59939,0.39115,0.25565,0.19724,0.12732,1.40271,2.53837,1.55444,0.0009505,0.0009505,0.0009505
7,160.884,1.40347,2.76884,1.49902,0.44763,0.27408,0.23579,0.14954,1.41012,2.46138,1.57042,0.0009406,0.0009406,0.0009406
8,181.8,1.39286,2.54649,1.48031,0.44368,0.24784,0.27323,0.1787,1.41007,2.30659,1.52604,0.0009307,0.0009307,0.0009307
9,202.954,1.34253,2.39821,1.46121,0.48044,0.35859,0.35255,0.22332,1.31137,2.03856,1.45153,0.0009208,0.0009208,0.0009208
10,224.181,1.32636,2.18011,1.41423,0.38371,0.3785,0.31787,0.21055,1.28401,2.02686,1.41855,0.0009109,0.0009109,0.0009109
11,244.402,1.34291,2.02687,1.42207,0.35568,0.33559,0.35016,0.22709,1.29447,2.00452,1.4278,0.000901,0.000901,0.000901
12,272.85,1.27275,1.91451,1.36964,0.41493,0.3993,0.37293,0.23035,1.26591,1.88744,1.40604,0.0008911,0.0008911,0.0008911
13,293.979,1.277,1.86684,1.36853,0.65175,0.45766,0.46813,0.29605,1.22118,1.72163,1.36022,0.0008812,0.0008812,0.0008812
14,319.597,1.21943,1.72305,1.3343,0.53455,0.44044,0.46803,0.30565,1.21315,1.6689,1.31834,0.0008713,0.0008713,0.0008713
15,341.425,1.20505,1.62422,1.3256,0.53554,0.43037,0.43439,0.27222,1.19461,1.66632,1.31631,0.0008614,0.0008614,0.0008614
16,361.874,1.20449,1.57928,1.31598,0.61258,0.44773,0.4651,0.29358,1.20201,1.60154,1.32351,0.0008515,0.0008515,0.0008515
17,381.787,1.20213,1.59235,1.3088,0.62508,0.4446,0.49939,0.33041,1.23629,1.5292,1.30334,0.0008416,0.0008416,0.0008416
18,403.188,1.15336,1.4536,1.27658,0.6214,0.52389,0.55974,0.36712,1.26377,1.49228,1.31622,0.0008317,0.0008317,0.0008317
19,424.146,1.09896,1.32934,1.25876,0.58058,0.49673,0.52903,0.34439,1.27573,1.61421,1.35587,0.0008218,0.0008218,0.0008218
20,444.487,1.14778,1.3472,1.27448,0.68598,0.47068,0.54812,0.36608,1.24999,1.4678,1.34199,0.0008119,0.0008119,0.0008119
21,464.119,1.10392,1.25989,1.23796,0.64766,0.49668,0.55569,0.37258,1.25115,1.42719,1.32169,0.000802,0.000802,0.000802
22,485.16,1.06578,1.19197,1.21248,0.65696,0.46383,0.54816,0.36494,1.27334,1.39116,1.34432,0.0007921,0.0007921,0.0007921
23,504.755,1.08518,1.21044,1.24805,0.72114,0.50503,0.57053,0.36368,1.28296,1.44585,1.33699,0.0007822,0.0007822,0.0007822
24,524.914,1.07583,1.1803,1.23661,0.6995,0.51739,0.55901,0.36741,1.28448,1.44393,1.3427,0.0007723,0.0007723,0.0007723
25,544.543,1.02961,1.14931,1.22219,0.76792,0.47452,0.56605,0.38613,1.27925,1.44271,1.33667,0.0007624,0.0007624,0.0007624
26,565.539,1.04357,1.05073,1.20184,0.72135,0.44967,0.52829,0.34306,1.24455,1.50152,1.33966,0.0007525,0.0007525,0.0007525
27,585.515,1.02314,1.0144,1.19329,0.63734,0.48676,0.56644,0.37279,1.24828,1.45957,1.33462,0.0007426,0.0007426,0.0007426
28,605.807,0.99196,0.98852,1.16141,0.82371,0.49581,0.59176,0.39811,1.25104,1.38312,1.32743,0.0007327,0.0007327,0.0007327
29,626.925,1.00337,0.9853,1.16607,0.73301,0.51193,0.5844,0.39034,1.26248,1.36723,1.35336,0.0007228,0.0007228,0.0007228
30,646.44,1.04363,0.9743,1.1788,0.62323,0.57431,0.58841,0.39253,1.29318,1.37374,1.36698,0.0007129,0.0007129,0.0007129
31,666.272,0.94258,0.91726,1.15326,0.72503,0.50272,0.56821,0.3701,1.30732,1.30326,1.38239,0.000703,0.000703,0.000703
32,686.271,0.98584,0.91659,1.16987,0.61951,0.58043,0.59094,0.37866,1.22767,1.34313,1.34029,0.0006931,0.0006931,0.0006931
33,706.399,0.98834,0.89578,1.16433,0.76446,0.50462,0.577,0.38073,1.2162,1.36323,1.33258,0.0006832,0.0006832,0.0006832
34,726.458,0.93319,0.86456,1.13475,0.65635,0.53862,0.58756,0.38774,1.23445,1.32707,1.36352,0.0006733,0.0006733,0.0006733
35,746.655,0.89882,0.8396,1.11864,0.66772,0.51411,0.57527,0.39088,1.22388,1.30949,1.3605,0.0006634,0.0006634,0.0006634
36,766.69,0.93289,0.83702,1.13552,0.72193,0.48117,0.57456,0.39051,1.19857,1.30115,1.34123,0.0006535,0.0006535,0.0006535
37,786.519,0.92499,0.82363,1.13117,0.6438,0.57271,0.58577,0.38663,1.20634,1.42433,1.33738,0.0006436,0.0006436,0.0006436
38,806.591,0.8964,0.79596,1.1306,0.61397,0.57113,0.59396,0.40315,1.27955,1.42571,1.38504,0.0006337,0.0006337,0.0006337
39,830.437,0.92536,0.82473,1.12079,0.7595,0.54863,0.61906,0.40802,1.35122,1.36766,1.45473,0.0006238,0.0006238,0.0006238
40,851.597,0.90773,0.77984,1.12216,0.78158,0.54655,0.61158,0.39208,1.34609,1.45142,1.45112,0.0006139,0.0006139,0.0006139
41,871.46,0.8837,0.75681,1.11022,0.63537,0.59191,0.59695,0.37883,1.30781,1.39515,1.41824,0.000604,0.000604,0.000604
42,891.238,0.86221,0.76787,1.1074,0.70679,0.58837,0.63006,0.42481,1.32026,1.23027,1.41655,0.0005941,0.0005941,0.0005941
43,911.723,0.8809,0.74788,1.11866,0.74442,0.57464,0.63188,0.41511,1.285,1.24157,1.42032,0.0005842,0.0005842,0.0005842
44,931.836,0.89064,0.75365,1.11966,0.81398,0.57928,0.66482,0.43099,1.28104,1.23185,1.38641,0.0005743,0.0005743,0.0005743
45,952.7,0.84379,0.68871,1.08466,0.77106,0.59482,0.64734,0.41026,1.31327,1.26896,1.46151,0.0005644,0.0005644,0.0005644
46,972.967,0.8565,0.72738,1.10836,0.74712,0.61492,0.64967,0.40604,1.31791,1.30346,1.48329,0.0005545,0.0005545,0.0005545
47,992.87,0.83149,0.69845,1.07091,0.66341,0.62661,0.60638,0.38402,1.27942,1.3634,1.4538,0.0005446,0.0005446,0.0005446
48,1012.93,0.8487,0.69619,1.09992,0.7466,0.55495,0.6173,0.41521,1.24603,1.35253,1.39163,0.0005347,0.0005347,0.0005347
49,1032.94,0.82712,0.66865,1.04731,0.61952,0.59934,0.60225,0.40659,1.25575,1.25498,1.40351,0.0005248,0.0005248,0.0005248
50,1052.64,0.80265,0.65773,1.07716,0.65804,0.60088,0.60417,0.40538,1.25146,1.25565,1.41526,0.0005149,0.0005149,0.0005149
51,1072.42,0.85228,0.67992,1.10044,0.706,0.57819,0.60636,0.40982,1.25601,1.27613,1.40629,0.000505,0.000505,0.000505
52,1091.97,0.82797,0.67281,1.06957,0.80653,0.54266,0.61539,0.39884,1.24735,1.44781,1.40775,0.0004951,0.0004951,0.0004951
53,1111.84,0.82002,0.66264,1.06973,0.80721,0.52817,0.61295,0.41335,1.24358,1.37125,1.38551,0.0004852,0.0004852,0.0004852
54,1132.22,0.82709,0.65766,1.06602,0.79709,0.56034,0.62197,0.41777,1.21724,1.28463,1.3682,0.0004753,0.0004753,0.0004753
55,1152.12,0.81374,0.66799,1.06705,0.79438,0.52118,0.59479,0.40877,1.17008,1.45184,1.35372,0.0004654,0.0004654,0.0004654
56,1172.11,0.80902,0.66497,1.0842,0.69436,0.57513,0.60867,0.40435,1.24435,1.44399,1.39708,0.0004555,0.0004555,0.0004555
57,1191.65,0.8258,0.66295,1.06706,0.78202,0.49239,0.59859,0.40465,1.19538,1.44735,1.38584,0.0004456,0.0004456,0.0004456
58,1212.27,0.81925,0.65376,1.05831,0.76509,0.51533,0.61236,0.41723,1.16587,1.38992,1.36528,0.0004357,0.0004357,0.0004357
59,1231.9,0.80419,0.66566,1.06974,0.66716,0.59087,0.63441,0.42398,1.20599,1.3737,1.35015,0.0004258,0.0004258,0.0004258
60,1251.89,0.81574,0.64827,1.06936,0.74807,0.53047,0.60097,0.40067,1.19951,1.43944,1.36534,0.0004159,0.0004159,0.0004159
61,1272.09,0.74312,0.57795,1.04022,0.73751,0.59905,0.63891,0.43304,1.17408,1.35746,1.34842,0.000406,0.000406,0.000406
62,1292.01,0.7714,0.61703,1.05452,0.83085,0.55462,0.64548,0.44075,1.23595,1.31503,1.40343,0.0003961,0.0003961,0.0003961
63,1312.97,0.78606,0.64256,1.05637,0.70948,0.62773,0.63031,0.43586,1.207,1.36392,1.37835,0.0003862,0.0003862,0.0003862
64,1332.99,0.77052,0.62083,1.05715,0.80409,0.52192,0.61325,0.43187,1.19551,1.43898,1.38133,0.0003763,0.0003763,0.0003763
65,1352.94,0.75168,0.59185,1.03342,0.67087,0.57739,0.61777,0.42526,1.18935,1.31972,1.38345,0.0003664,0.0003664,0.0003664
66,1372.58,0.75795,0.62027,1.02867,0.77342,0.52039,0.60111,0.41315,1.20174,1.37039,1.39535,0.0003565,0.0003565,0.0003565
67,1392.49,0.73569,0.55573,1.01236,0.64011,0.56916,0.59657,0.4116,1.17346,1.38789,1.38709,0.0003466,0.0003466,0.0003466
68,1412.12,0.77951,0.59865,1.04329,0.71538,0.5497,0.60958,0.42113,1.21745,1.31529,1.40451,0.0003367,0.0003367,0.0003367
69,1432.13,0.75844,0.57572,1.04002,0.7025,0.57429,0.61963,0.41701,1.22266,1.31997,1.38573,0.0003268,0.0003268,0.0003268
70,1452.15,0.7549,0.57533,1.03409,0.81625,0.53914,0.63434,0.43676,1.22995,1.33051,1.40689,0.0003169,0.0003169,0.0003169
71,1472.18,0.71434,0.52439,1.01856,0.79861,0.55398,0.64754,0.42717,1.23874,1.35226,1.41589,0.000307,0.000307,0.000307
72,1492.14,0.73576,0.55273,1.01999,0.77481,0.5523,0.64333,0.42797,1.23671,1.35653,1.39993,0.0002971,0.0002971,0.0002971
73,1512.21,0.72314,0.56451,1.03816,0.71554,0.56299,0.63003,0.42753,1.22086,1.3859,1.39255,0.0002872,0.0002872,0.0002872
74,1532.35,0.70809,0.5315,1.01835,0.75661,0.59803,0.64772,0.42863,1.24191,1.37746,1.4261,0.0002773,0.0002773,0.0002773
75,1552.29,0.71139,0.52596,1.017,0.75555,0.62992,0.66767,0.43669,1.23038,1.31543,1.41238,0.0002674,0.0002674,0.0002674
